Seq,LV,Word,Britanico
238,A1,over,ˈəʊvə
239,A1,past,pɑːst
240,A1,through,θruː
241,A1,to,tuː
242,A1,under,ˈʌndə
243,A1,until,ənˈtɪl
244,A1,up,ʌp
245,A1,with,wɪð
246,A1,without,wɪˈðaʊt
247,A1,eight,eɪt
248,A1,eighteen,ˌeɪˈtiːn
249,A1,eighty,ˈeɪti
250,A1,eleven,ɪˈlɛvn
251,A1,fifteen,ˈfɪfˈtiːn
252,A1,fifth,fɪfθ
253,A1,fifty,ˈfɪfti
254,A1,first,fɜːst
255,A1,five,faɪv
256,A1,forty,ˈfɔːti
257,A1,four,fɔː
258,A1,fourteen,ˈfɔːˈtiːn
259,A1,fourth,fɔːθ
260,A1,hundred,ˈhʌndrəd
261,A1,million,ˈmɪljən
262,A1,nine,naɪn
263,A1,nineteen,ˈnaɪnˈtiːn
264,A1,ninety,ˈnaɪnti
265,A1,second,ˈsɛkənd
266,A1,seven,ˈsɛvn
267,A1,seventeen,ˈsɛvnˈtiːn
268,A1,seventy,ˈsɛvnti
269,A1,six,sɪks
270,A1,sixteen,ˈsɪksˈtiːn
271,A1,sixty,ˈsɪksti
272,A1,ten,tɛn
273,A1,third,θɜːd
274,A1,thirteen,ˈθɜːˈtiːn
275,A1,thirty,ˈθɜːti
276,A1,thousand,ˈθaʊzənd
277,A1,three,θriː
278,A1,twelve,twɛlv
279,A1,twenty,ˈtwɛnti
280,A1,two,tuː
281,A1,action,ˈækʃ(ə)n
282,A1,activity,ækˈtɪvɪti
283,A1,actor,ˈæktə
284,A1,actress,ˈæktrɪs
285,A1,address,əˈdrɛs
286,A1,adult,ˈædʌlt
287,A1,advice,ədˈvaɪs
288,A1,afternoon,ˈɑːftəˈnuːn
289,A1,age,eɪʤ
290,A1,air,eə
291,A1,airport,ˈeəpɔːt
292,A1,animal,ˈænɪməl
293,A1,apartment,əˈpɑːtmənt
294,A1,apple,ˈæpl
295,A1,April,ˈeɪprəl
296,A1,area,ˈeərɪə
297,A1,arm,ɑːm
298,A1,art,ɑːt
299,A1,article,ˈɑːtɪkl
300,A1,artist,ˈɑːtɪst
301,A1,August,ˈɔːgəst
302,A1,aunt,ɑːnt
303,A1,autumn,ˈɔːtəm
304,A1,baby,ˈbeɪbi
305,A1,back,bæk
306,A1,bag,bæg
307,A1,ball,bɔːl
308,A1,banana,bəˈnɑːnə
309,A1,band,bænd
310,A1,bank,bæŋk
311,A1,bath,bɑːθ
312,A1,bathroom,ˈbɑːθru(ː)m
313,A1,beach,biːʧ
314,A1,bed,bɛd
315,A1,bedroom,ˈbɛdru(ː)m
316,A1,beer,bɪə
317,A1,beginning,bɪˈgɪnɪŋ
318,A1,bicycle,ˈbaɪsɪkl
319,A1,bike,baɪk
320,A1,bill,bɪl
321,A1,bird,bɜːd
322,A1,birthday,ˈbɜːθdeɪ
323,A1,black,blæk
324,A1,blog,blɒg
325,A1,blue,bluː
326,A1,boat,bəʊt
327,A1,body,ˈbɒdi
328,A1,book,bʊk
329,A1,boot,buːt
330,A1,bottle,ˈbɒtl
331,A1,box,bɒks
332,A1,boy,bɔɪ
333,A1,boyfriend,ˈbɔɪˌfrɛnd
334,A1,bread,brɛd
335,A1,breakfast,ˈbrɛkfəst
336,A1,brother,ˈbrʌðə
337,A1,brown,braʊn
338,A1,building,ˈbɪldɪŋ
339,A1,bus,bʌs
340,A1,business,ˈbɪznɪs
341,A1,butter,ˈbʌtə
342,A1,cafe,ˈkæfeɪ
343,A1,cake,keɪk
344,A1,camera,ˈkæmərə
345,A1,capital,ˈkæpɪtl
346,A1,car,kɑː
347,A1,card,kɑːd
348,A1,career,kəˈrɪə
349,A1,carrot,ˈkærət
350,A1,cat,kæt
351,A1,CD,siː-diː
352,A1,cent,sɛnt
353,A1,centre,ˈsɛntə
354,A1,century,ˈsɛnʧʊri
355,A1,chair,ʧeə
356,A1,chart,ʧɑːt
357,A1,cheese,ʧiːz
358,A1,chicken,ˈʧɪkɪn
359,A1,child,ʧaɪld
360,A1,chocolate,ˈʧɒkəlɪt
361,A1,cinema,ˈsɪnəmə
362,A1,city,ˈsɪti
363,A1,class,klɑːs
364,A1,classroom,ˈklɑːsrʊm
365,A1,clock,klɒk
366,A1,clothes,kləʊðz
367,A1,club,klʌb
368,A1,coat,kəʊt
369,A1,coffee,ˈkɒfi
370,A1,cold,kəʊld
371,A1,college,ˈkɒlɪʤ
372,A1,colour,ˈkʌlə
373,A1,company,ˈkʌmpəni
374,A1,computer,kəmˈpjuːtə
375,A1,concert,ˈkɒnsə(ː)t / kənˈsɜːt
376,A1,conversation,ˌkɒnvəˈseɪʃən
377,A1,cooking,ˈkʊkɪŋ
378,A1,country,ˈkʌntri
379,A1,course,kɔːs
380,A1,cousin,ˈkʌzn
381,A1,cow,kaʊ
382,A1,cream,kriːm
383,A1,culture,ˈkʌlʧə
384,A1,cup,kʌp
385,A1,customer,ˈkʌstəmə
386,A1,dad,dæd
387,A1,dancer,ˈdɑːnsə
388,A1,dancing,ˈdɑːnsɪŋ
389,A1,date,deɪt
390,A1,daughter,ˈdɔːtə
391,A1,day,deɪ
392,A1,December,dɪˈsɛmbə
393,A1,description,dɪsˈkrɪpʃən
394,A1,desk,dɛsk
395,A1,detail,ˈdiːteɪl
396,A1,dialogue,ˈdaɪəlɒg
397,A1,dictionary,ˈdɪkʃ(ə)n(ə)ri
398,A1,diet,ˈdaɪət
399,A1,difference,ˈdɪfrəns
400,A1,dinner,ˈdɪnə
401,A1,dish,dɪʃ
402,A1,doctor,ˈdɒktə
403,A1,dog,dɒg
404,A1,dollar,ˈdɒlə
405,A1,door,dɔː
406,A1,driver,ˈdraɪvə
407,A1,DVD,diː-viː-diː
408,A1,ear,ɪə
409,A1,east,iːst
410,A1,egg,ɛg
411,A1,elephant,ˈɛlɪfənt
412,A1,euro,ˈjʊərəʊ
413,A1,evening,ˈiːvnɪŋ
414,A1,event,ɪˈvɛnt
415,A1,exam,ɪgˈzæm
416,A1,example,ɪgˈzɑːmpl
417,A1,eye,aɪ
418,A1,face,feɪs
419,A1,fact,fækt
420,A1,family,ˈfæmɪli
421,A1,farm,fɑːm
422,A1,farmer,ˈfɑːmə
423,A1,father,ˈfɑːðə
424,A1,favourite,ˈfeɪvərɪt
425,A1,February,ˈfɛbrʊəri
426,A1,feeling,ˈfiːlɪŋ
427,A1,festival,ˈfɛstəvəl
428,A1,film,fɪlm
429,A1,fire,ˈfaɪə
430,A1,fish,fɪʃ
431,A1,flat,flæt
432,A1,flight,flaɪt
433,A1,floor,flɔː
434,A1,flower,ˈflaʊə
435,A1,food,fuːd
436,A1,foot,fʊt
437,A1,football,ˈfʊtbɔːl
438,A1,Friday,ˈfraɪdeɪ
439,A1,friend,frɛnd
440,A1,front,frʌnt
441,A1,fruit,fruːt
442,A1,fun,fʌn
443,A1,future,ˈfjuːʧə
444,A1,game,geɪm
445,A1,garden,ˈgɑːdn
446,A1,geography,ʤɪˈɒgrəfi
447,A1,girl,gɜːl
448,A1,girlfriend,ˈgɜːlˌfrɛnd
449,A1,glass,glɑːs
450,A1,goodbye,gʊdˈbaɪ / ˈgʊdˈbaɪ
451,A1,grandfather,ˈgrændˌfɑːðə
452,A1,grandmother,ˈgrænˌmʌðə
453,A1,grandparent,ˈgrænpeərənt
454,A1,green,griːn
455,A1,grey,greɪ
456,A1,group,gruːp
457,A1,guitar,gɪˈtɑː
458,A1,gym,ʤɪm
459,A1,hair,heə
460,A1,hand,hænd
461,A1,hat,hæt
462,A1,head,hɛd
463,A1,health,hɛlθ
464,A1,hello,hɛˈləʊ
465,A1,history,ˈhɪstəri
466,A1,hobby,ˈhɒbi
467,A1,holiday,ˈhɒlədeɪ
468,A1,home,həʊm
469,A1,homework,ˈhəʊmˌwɜːk
470,A1,horse,hɔːs
471,A1,hospital,ˈhɒspɪtl
472,A1,hotel,həʊˈtɛl
473,A1,hour,ˈaʊə
474,A1,house,haʊs / haʊs
475,A1,husband,ˈhʌzbənd
476,A1,ice,aɪs
477,A1,ice cream,aɪs kriːm
478,A1,idea,aɪˈdɪə
479,A1,information,ˌɪnfəˈmeɪʃən
480,A1,internet,ˈɪntəˌnɛt
481,A1,island,ˈaɪlənd
482,A1,jacket,ˈʤækɪt
483,A1,January,ˈʤænjʊəri
484,A1,jeans,ʤiːnz
485,A1,job,ʤɒb
486,A1,journey,ˈʤɜːni
487,A1,juice,ʤuːs
488,A1,July,ʤu(ː)ˈlaɪ
489,A1,June,ʤuːn
490,A1,key,kiː
491,A1,kilometre,ˈkɪləʊˌmiːtə
492,A1,kind,kaɪnd
493,A1,kitchen,ˈkɪʧɪn
494,A1,land,lænd
495,A1,language,ˈlæŋgwɪʤ
496,A1,left,lɛft
497,A1,leg,lɛg
498,A1,lesson,ˈlɛsn
499,A1,letter,ˈlɛtə
500,A1,library,ˈlaɪbrəri
501,A1,life,laɪf
502,A1,light,laɪt
503,A1,line,laɪn
504,A1,lion,ˈlaɪən
505,A1,lunch,lʌnʧ
506,A1,machine,məˈʃiːn
507,A1,magazine,ˌmægəˈziːn
508,A1,man,mæn / mən
509,A1,map,mæp
510,A1,March,mɑːʧ
511,A1,market,ˈmɑːkɪt
512,A1,May,meɪ
513,A1,meal,miːl
514,A1,meaning,ˈmiːnɪŋ
515,A1,meat,miːt
516,A1,meeting,ˈmiːtɪŋ
517,A1,member,ˈmɛmbə
518,A1,menu,ˈmɛnjuː
519,A1,message,ˈmɛsɪʤ
520,A1,metre,ˈmiːtə
521,A1,midnight,ˈmɪdnaɪt
522,A1,mile,maɪl
523,A1,milk,mɪlk
524,A1,minute,ˈmɪnɪt / maɪˈnjuːt
525,A1,mistake,mɪsˈteɪk
526,A1,model,ˈmɒdl
527,A1,moment,ˈməʊmənt
528,A1,Monday,ˈmʌndeɪ
529,A1,money,ˈmʌni
530,A1,month,mʌnθ
531,A1,morning,ˈmɔːnɪŋ
532,A1,mother,ˈmʌðə
533,A1,mountain,ˈmaʊntɪn
534,A1,mouse,maʊs / maʊz
535,A1,mouth,maʊθ / maʊð
536,A1,movie,ˈmuːvi
537,A1,mum,mʌm
538,A1,museum,mju(ː)ˈzɪəm
539,A1,music,ˈmjuːzɪk
540,A1,neighbour,ˈneɪbə
541,A1,news,njuːz
542,A1,newspaper,ˈnjuːzˌpeɪpə
543,A1,night,naɪt
544,A1,north,nɔːθ
545,A1,nose,nəʊz
546,A1,note,nəʊt
547,A1,November,nəʊˈvɛmbə
548,A1,number,ˈnʌmbə
549,A1,nurse,nɜːs
550,A1,object,ˈɒbʤɪkt / əbˈʤɛkt
551,A1,October,ɒkˈtəʊbə
552,A1,office,ˈɒfɪs
553,A1,OK,ˈəʊˈkeɪ
554,A1,onion,ˈʌnjən
555,A1,opinion,əˈpɪnjən
556,A1,orange,ˈɒrɪnʤ
557,A1,page,peɪʤ
558,A1,painting,ˈpeɪntɪŋ
559,A1,pair,peə
560,A1,paper,ˈpeɪpə
561,A1,paragraph,ˈpærəgrɑːf
562,A1,parent,ˈpeərənt
563,A1,part,pɑːt
564,A1,partner,ˈpɑːtnə
565,A1,party,ˈpɑːti
566,A1,passport,ˈpɑːspɔːt
567,A1,pen,pɛn
568,A1,pencil,ˈpɛnsl
569,A1,people,ˈpiːpl
570,A1,pepper,ˈpɛpə
571,A1,period,ˈpɪərɪəd
572,A1,person,ˈpɜːsn
573,A1,photo,ˈfəʊtəʊ
574,A1,photograph,ˈfəʊtəgrɑːf
575,A1,phrase,freɪz
576,A1,piano,pɪˈænəʊ / ˈpjɑːnəʊ
577,A1,picture,ˈpɪkʧə
578,A1,piece,piːs
579,A1,pig,pɪg
580,A1,pink,pɪŋk
581,A1,place,pleɪs
582,A1,plane,pleɪn
583,A1,plant,plɑːnt
584,A1,player,ˈpleɪə
585,A1,point,pɔɪnt
586,A1,police,pəˈliːs
587,A1,policeman,pəˈliːsmən
588,A1,pool,puːl
589,A1,potato,pəˈteɪtəʊ
590,A1,pound,paʊnd
591,A1,practice,ˈpræktɪs
592,A1,present,ˈprɛznt / prɪˈzɛnt
593,A1,price,praɪs
594,A1,problem,ˈprɒbləm
595,A1,product,ˈprɒdʌkt
596,A1,programme,ˈprəʊgræm
597,A1,project,ˈprɒʤɛkt / prəˈʤɛkt
598,A1,purple,ˈpɜːpl
599,A1,quarter,ˈkwɔːtə
600,A1,question,ˈkwɛsʧən
601,A1,radio,ˈreɪdɪəʊ
602,A1,reader,ˈriːdə
603,A1,reading,ˈriːdɪŋ / ˈrɛdɪŋ
604,A1,reason,ˈriːzn
605,A1,red,rɛd
606,A1,report,rɪˈpɔːt
607,A1,restaurant,ˈrɛstrɒnt / ˈrɛst(ə)ˌrɒŋ
608,A1,result,rɪˈzʌlt
609,A1,rice,raɪs
610,A1,right,raɪt
611,A1,river,ˈrɪvə
612,A1,road,rəʊd
613,A1,room,ruːm
614,A1,routine,ruːˈtiːn
615,A1,rule,ruːl
616,A1,salad,ˈsæləd
617,A1,salt,sɔːlt
618,A1,sandwich,ˈsænwɪʤ
619,A1,Saturday,ˈsætədeɪ
620,A1,school,skuːl
621,A1,science,ˈsaɪəns
622,A1,scientist,ˈsaɪəntɪst
623,A1,sea,siː
624,A1,section,ˈsɛkʃən
625,A1,sentence,ˈsɛntəns
626,A1,September,sɛpˈtɛmbə
627,A1,sheep,ʃiːp
628,A1,shirt,ʃɜːt
629,A1,shoe,ʃuː
630,A1,shopping,ˈʃɒpɪŋ
631,A1,shower,ˈʃaʊə / ˈʃəʊə
632,A1,singer,ˈsɪŋə
633,A1,sister,ˈsɪstə
634,A1,situation,ˌsɪtjʊˈeɪʃən
635,A1,skill,skɪl
636,A1,skirt,skɜːt
637,A1,snake,sneɪk
638,A1,son,sʌn
639,A1,song,sɒŋ
640,A1,soup,suːp
641,A1,south,saʊθ
642,A1,space,speɪs
643,A1,spelling,ˈspɛlɪŋ
644,A1,sport,spɔːt
645,A1,spring,sprɪŋ
646,A1,star,stɑː
647,A1,statement,ˈsteɪtmənt
648,A1,station,ˈsteɪʃən
649,A1,story,ˈstɔːri
650,A1,street,striːt
651,A1,student,ˈstjuːdənt
652,A1,style,staɪl
653,A1,subject,ˈsʌbʤɪkt / səbˈʤɛkt
654,A1,success,səkˈsɛs
655,A1,sugar,ˈʃʊgə
656,A1,summer,ˈsʌmə
657,A1,sun,sʌn
658,A1,Sunday,ˈsʌndeɪ
659,A1,supermarket,ˈsjuːpəˌmɑːkɪt
660,A1,sweater,ˈswɛtə
661,A1,swimming,ˈswɪmɪŋ
662,A1,table,ˈteɪbl
663,A1,taxi,ˈtæksi
664,A1,tea,tiː
665,A1,teacher,ˈtiːʧə
666,A1,team,tiːm
667,A1,teenager,ˈtiːnˌeɪʤə
668,A1,television,ˈtɛlɪˌvɪʒən
669,A1,tennis,ˈtɛnɪs
670,A1,text,tɛkst
671,A1,thanks,θæŋks
672,A1,theatre,ˈθɪətə
673,A1,thing,θɪŋ
674,A1,Thursday,ˈθɜːzdeɪ
675,A1,ticket,ˈtɪkɪt
676,A1,time,taɪm
677,A1,title,ˈtaɪtl
678,A1,today,təˈdeɪ
679,A1,toilet,ˈtɔɪlɪt
680,A1,tomato,təˈmɑːtəʊ
681,A1,tomorrow,təˈmɒrəʊ
682,A1,tonight,təˈnaɪt
683,A1,tooth,tuːθ
684,A1,topic,ˈtɒpɪk
685,A1,tourist,ˈtʊərɪst
686,A1,town,taʊn
687,A1,traffic,ˈtræfɪk
688,A1,train,treɪn
689,A1,tree,triː
690,A1,trip,trɪp
691,A1,trousers,ˈtraʊzəz
692,A1,T-shirt,ˈtiːʃɜːt
693,A1,Tuesday,ˈtjuːzdeɪ
694,A1,TV,ˌtiːˈviː
695,A1,type,taɪp
696,A1,umbrella,ʌmˈbrɛlə
697,A1,uncle,ˈʌŋkl
698,A1,university,ˌjuːnɪˈvɜːsɪti
699,A1,vacation,vəˈkeɪʃən
700,A1,vegetable,ˈvɛʤtəb(ə)l
701,A1,video,ˈvɪdɪəʊ
702,A1,village,ˈvɪlɪʤ
703,A1,visitor,ˈvɪzɪtə
704,A1,waiter,ˈweɪtə
705,A1,wall,wɔːl
706,A1,water,ˈwɔːtə
707,A1,way,weɪ
708,A1,weather,ˈwɛðə
709,A1,website,ˈwɛbˌsaɪt
710,A1,Wednesday,ˈwɛnzdeɪ
711,A1,week,wiːk
712,A1,weekend,ˈwiːkˈɛnd
713,A1,west,wɛst
714,A1,white,waɪt
715,A1,wife,waɪf
716,A1,window,ˈwɪndəʊ
717,A1,wine,waɪn
718,A1,winter,ˈwɪntə
719,A1,woman,ˈwʊmən
720,A1,word,wɜːd
721,A1,worker,ˈwɜːkə
722,A1,world,wɜːld
723,A1,writer,ˈraɪtə
724,A1,writing,ˈraɪtɪŋ
725,A1,year,jɪə
726,A1,yellow,ˈjɛləʊ
727,A1,yesterday,ˈjɛstədeɪ
728,A1,can,kæn
729,A1,cannot,ˈkænɒt
730,A1,could,kʊd
731,A1,have to,hæv tuː
732,A1,must,mʌst
733,A1,should,ʃʊd
734,A1,will,wɪl
735,A1,would,wʊd
736,A1,a,eɪ
737,A1,an,æn
738,A1,bye,baɪ
739,A1,hey,heɪ
740,A1,hi,haɪ
741,A1,no,nəʊ
742,A1,oh,əʊ
743,A1,please,pliːz
744,A1,sorry,ˈsɒri
745,A1,well,wɛl
746,A1,yeah,jeə
747,A1,yes,jɛs
748,A1,every,ˈɛvri
749,A1,his,hɪz
750,A1,its,ɪts
751,A1,last,lɑːst
752,A1,my,maɪ
753,A1,our,ˈaʊə
754,A1,their,ðeə
755,A1,your,jɔː
756,A1,the,ðiː
757,A1,and,ænd
758,A1,because,bɪˈkɒz
759,A1,but,bʌt
760,A1,if,ɪf
761,A1,or,ɔː
762,A1,so,səʊ
763,A1,than,ðæn
764,A1,where,weə
765,A1,again,əˈgɛn
766,A1,ago,əˈgəʊ
767,A1,also,ˈɔːlsəʊ
768,A1,always,ˈɔːlweɪz
769,A1,away,əˈweɪ
770,A1,downstairs,ˌdaʊnˈsteəz
771,A1,early,ˈɜːli
772,A1,else,ɛls
773,A1,even,ˈiːvən
774,A1,ever,ˈɛvə
775,A1,far,fɑː
776,A1,fast,fɑːst
777,A1,hard,hɑːd
778,A1,here,hɪə
779,A1,how,haʊ
780,A1,however,haʊˈɛvə
781,A1,just,ʤʌst
782,A1,late,leɪt
783,A1,later,ˈleɪtə
784,A1,long,lɒŋ
785,A1,maybe,ˈmeɪbiː
786,A1,never,ˈnɛvə
787,A1,next,nɛkst
788,A1,not,nɒt
789,A1,now,naʊ
790,A1,o’clock,əˈklɒk
791,A1,often,ˈɒf(ə)n / ˈɒft(ə)n
792,A1,once,wʌns
793,A1,online,ˈɒnˌlaɪn
794,A1,only,ˈəʊnli
795,A1,outside,ˌaʊtˈsaɪd
796,A1,pretty,ˈprɪti
797,A1,probably,ˈprɒbəbli
798,A1,quickly,ˈkwɪkli
799,A1,quite,kwaɪt
800,A1,really,ˈrɪəli
801,A1,sometimes,ˈsʌmtaɪmz
802,A1,soon,suːn
803,A1,still,stɪl
804,A1,then,ðɛn
805,A1,there,ðeə
806,A1,together,təˈgɛðə
807,A1,too,tuː
808,A1,twice,twaɪs
809,A1,upstairs,ˌʌpˈsteəz
810,A1,usually,ˈjuːʒʊəli
811,A1,very,ˈvɛri
812,A1,why,waɪ
813,A1,afraid,əˈfreɪd
814,A1,amazing,əˈmeɪzɪŋ
815,A1,angry,ˈæŋgri
816,A1,bad,bæd
817,A1,beautiful,ˈbjuːtəfʊl
818,A1,best,bɛst
819,A1,better,ˈbɛtə
820,A1,big,bɪg
821,A1,blonde,blɒnd
822,A1,bored,bɔːd
823,A1,boring,ˈbɔːrɪŋ
824,A1,busy,ˈbɪzi
825,A1,cheap,ʧiːp
826,A1,common,ˈkɒmən
827,A1,cool,kuːl
828,A1,dangerous,ˈdeɪnʤrəs
829,A1,dark,dɑːk
830,A1,dear,dɪə
831,A1,delicious,dɪˈlɪʃəs
832,A1,different,ˈdɪfrənt
833,A1,difficult,ˈdɪfɪkəlt
834,A1,dirty,ˈdɜːti
835,A1,easy,ˈiːzi
836,A1,excited,ɪkˈsaɪtɪd
837,A1,exciting,ɪkˈsaɪtɪŋ
838,A1,expensive,ɪksˈpɛnsɪv
839,A1,extra,ˈɛkstrə
840,A1,false,fɔːls
841,A1,famous,ˈfeɪməs
842,A1,fantastic,fænˈtæstɪk
843,A1,fat,fæt
844,A1,final,ˈfaɪnl
845,A1,fine,faɪn
846,A1,free,friː
847,A1,friendly,ˈfrɛndli
848,A1,full,fʊl
849,A1,funny,ˈfʌni
850,A1,good,gʊd
851,A1,great,greɪt
852,A1,happy,ˈhæpi
853,A1,healthy,ˈhɛlθi
854,A1,high,haɪ
855,A1,hot,hɒt
856,A1,hungry,ˈhʌŋgri
